batch_size,lr,leak_mem,num_steps,num_epochs,training_loss,testing_accuracy
64,0.1,0.985,10,25,0.0028738569744552176,97.3046875
64,0.1,0.985,10,50,0.0019735108728831012,96.9140625
64,0.1,0.98,10,5,0.02020110435038805,96.62109375
64,0.1,0.98,10,10,0.007165305954714616,96.23046875
64,0.1,0.98,10,25,0.0029249849673360587,96.81640625
64,0.1,0.98,10,50,0.0016384612570206323,97.3046875
64,0.1,0.975,10,5,0.023276356406509876,95.234375
64,0.1,0.975,10,10,0.010888694960623979,96.23046875
64,0.1,0.975,10,25,0.002300504443235695,97.3046875
64,0.1,0.975,10,50,0.0018414981833969554,97.01171875
64,0.1,0.99,20,5,0.026026079975068568,96.328125
64,0.1,0.99,20,10,0.006573227137948076,96.81640625
64,0.1,0.99,20,25,0.001563314599916339,97.40234375
64,0.1,0.99,20,50,0.0013393713024755318,96.62109375
64,0.1,0.985,20,5,0.021598030286530654,96.1328125
64,0.1,0.985,20,10,0.0051842931043356655,96.5234375
64,0.1,0.985,20,25,0.0018638089615851641,97.01171875
64,0.1,0.985,20,50,0.001340691695921123,96.81640625
64,0.1,0.98,20,5,0.01626130174100399,96.71875
64,0.1,0.98,20,10,0.003452110712726911,97.01171875
64,0.1,0.98,20,25,0.0013167028967291116,97.109375
64,0.1,0.98,20,50,0.0012091682242850463,97.109375
64,0.1,0.975,20,5,0.018579434706519047,96.62109375
64,0.1,0.975,20,10,0.0053138110612829526,96.42578125
64,0.1,0.975,20,25,0.0017617169584458073,96.62109375
64,0.1,0.975,20,50,0.0013205058674017587,96.81640625
64,0.1,0.99,40,5,0.014397323681041598,96.23046875
64,0.1,0.99,40,10,0.005239857788508137,97.01171875
64,0.1,0.99,40,25,0.0014375047286351523,97.109375
64,0.1,0.99,40,50,0.0010168748845656712,97.109375
64,0.1,0.985,40,5,0.017976664651185276,96.5234375
64,0.1,0.985,40,10,0.005213999891032775,97.20703125
64,0.1,0.985,40,25,0.0013950308893496792,96.9140625
64,0.1,0.985,40,50,0.0011783377888302008,96.9140625
64,0.1,0.98,40,5,0.013771989571551482,97.20703125
64,0.1,0.98,40,10,0.003957582314809163,97.109375
64,0.1,0.98,40,25,0.0014842105691786857,97.20703125
64,0.1,0.98,40,50,0.0011214378380682319,97.5
64,0.1,0.975,40,5,0.019538539356241624,96.03515625
64,0.1,0.975,40,10,0.004971976370240251,96.81640625
64,0.1,0.975,40,25,0.0014888483394558231,97.3046875
64,0.1,0.975,40,50,0.0011968975444324314,97.3046875
64,0.05,0.99,5,5,0.05772135103742282,94.00390625
64,0.05,0.99,5,10,0.022474757288893064,96.3671875
64,0.05,0.99,5,25,0.007357336387038231,96.42578125
64,0.05,0.99,5,50,0.005324605198266606,96.5234375
64,0.05,0.985,5,5,0.05665086330970128,95.48828125
64,0.05,0.985,5,10,0.021773024141788482,96.03515625
64,0.05,0.985,5,25,0.007953078287343185,96.42578125
64,0.05,0.985,5,50,0.004876155930260817,96.42578125
64,0.05,0.98,5,5,0.059746478845675785,95.546875
64,0.05,0.98,5,10,0.0242844739134113,96.23046875
64,0.05,0.98,5,25,0.007401245296001434,95.9375
64,0.05,0.98,5,50,0.0053478485066443685,96.46484375
64,0.05,0.975,5,5,0.053458790202935536,95.83984375
64,0.05,0.975,5,10,0.01936455775797367,95.9375
64,0.05,0.975,5,25,0.008003032892942429,96.71875
64,0.05,0.975,5,50,0.0046235160852471984,97.5
64,0.05,0.99,10,5,0.027474928967654706,96.03515625
